idZnamky,idVady,variantaVady,umisteniVady,popisVady,obrazekVady
cz-1983-01,cz-1983-01(01),A,kresba sestupu,pod posledním padákem vpravo dole mezi plameny zlatá čárka chybí,/img/1983/A2586-A-1.jpg
cz-1983-01,cz-1983-01(02),A,ZP2,hnědá čárka v písmenu 'č' slova 'výročí',/img/1983/A2586-A-2.jpg
cz-1983-01,cz-1983-01(03),A,zlatá větvička,nad koncem větvičky uprostřed PL je zlatá skvrnka,/img/1983/A2586-A-3.jpg
cz-1983-01,cz-1983-01(04),A,kresba sestupu,modrá skvrnka vlevo nahoře u první sestupové fáze,/img/1983/A2586-A-4.jpg
cz-1983-01,cz-1983-01(05),A,obraz Země,modrá skvrnka pod obrazem,/img/1983/A2586-A-5.jpg
cz-1983-01,cz-1983-01(06),B,kresba sestupu,pod posledním padákem vpravo dole mezi plameny zlatá čárka chybí,/img/1983/A2586-A-1.jpg
cz-1983-01,cz-1983-01(07),B,zlatá větvička,nad koncem větvičky uprostřed PL je zlatá čárka,/img/1983/A2586-B-2.jpg
cz-1983-01,cz-1983-01(08),B1,ZP2,hnědá skvrnka dole mezi písmeny 've' nápisu 'Československo',/img/1983/A2586-B1-1.jpg
cz-1983-01,cz-1983-01(09),B2,ZP2,hnědá čárka dole mezi písmeny 've' nápisu 'Československo',/img/1983/A2586-B2-1.jpg
cz-1983-01,cz-1983-01(10),C,kresba sestupu,pod posledním padákem vpravo dole mezi plameny je zlatá čárka,/img/1983/A2586-C-1.jpg
cz-1983-01,cz-1983-01(11),C,ZP1,hnědá skvrnka vlevo dole od číslice '1' v textu 'KOVÁŘÍK 1983',/img/1983/A2586-C-2.jpg
cz-1983-01,cz-1983-01(12),C,pravá kresba ZP2,hnědý bod vlevo nahoře nad číslicí '2' nápisu 'Sojuz 28',/img/1983/A2586-C-3.jpg
cz-1983-01,cz-1983-01(13),C1,kresba sestupu,jednoduchá moletáž 4. a 5. fáze sestupu,/img/1983/A2586-C1-1.jpg
cz-1983-01,cz-1983-01(14),C2,kresba sestupu,dvojitá moletáž 4. a 5. fáze sestupu,/img/1983/A2586-C2-1.jpg
cz-1983-02,cz-1983-02(01),A1,ZP3,Patka hodnotové číslice 2 neukončena svislou čarou, hodnota a nápis Kčs světlý,/img/1983/PL2596-A1-1.jpg
cz-1983-02,cz-1983-02(02),A2,ZP3,Patka hodnotové číslice je seříznuta šikmo (retuš), hodnota a nápis Kčs normální,/img/1983/PL2596-A2-1.jpg
cz-1983-02,cz-1983-02(03),B,ZP6,Hnědočerná skvrnka pod pravou příčkou písmena 'T' slova SVĚTU,/img/1983/PL2596-B-1.jpg
cz-1983-02,cz-1983-02(04),C,ZP3,hnědočerný bod na hřbětě holubice,/img/1983/PL2596-C-1.jpg
cz-1983-02,cz-1983-02(05),C,ZP4,dvě sv. modré skvrnky pod písmeny 'OV' v nápisu 'ČESKOSLOVENSKO',/img/1983/PL2596-C-2.jpg
cz-1983-02,cz-1983-02(06),C1,ZP4,dlouhá vodorovná hnědočervená ryska přes písmeno 'N' slova 'JADERNÉ',/img/1983/PL2596-C1-1.jpg
